Word;Frequency;%
hurt;2;0.038%
impossible;2;0.038%
inclination;2;0.038%
increased;2;0.038%
judge;2;0.038%
judgment;2;0.038%
justly;2;0.038%
labouring;2;0.038%
laden;2;0.038%
learning;2;0.038%
leisure;2;0.038%
lie;2;0.038%
long;2;0.038%
look;2;0.038%
looked;2;0.038%
looking;2;0.038%
loose;2;0.038%
low;2;0.038%
lower;2;0.038%
luxury;2;0.038%
mean;2;0.038%
measures;2;0.038%
mere;2;0.038%
mine;2;0.038%
miserable;2;0.038%
misery;2;0.038%
misfortunes;2;0.038%
moment;2;0.038%
money;2;0.038%
neither;2;0.038%
none;2;0.038%
often;2;0.038%
once;2;0.038%
ordered;2;0.038%
peace;2;0.038%
people;2;0.038%
pleasant;2;0.038%
possible;2;0.038%
pray;2;0.038%
prompted;2;0.038%
prompting;2;0.038%
providence;2;0.038%
punch;2;0.038%
pushed;2;0.038%
quarters;2;0.038%
reason;2;0.038%
reflect;2;0.038%
repent;2;0.038%
resolution;2;0.038%
rid;2;0.038%
ride;2;0.038%
river;2;0.038%
road;2;0.038%
robinson;2;0.038%
roused;2;0.038%
rowing;2;0.038%
ruin;2;0.038%
running;2;0.038%
seafaring;2;0.038%
secret;2;0.038%
seeing;2;0.038%
seemed;2;0.038%
sense;2;0.038%
sensibly;2;0.038%
serious;2;0.038%
set;2;0.038%
settled;2;0.038%
shall;2;0.038%
shook;2;0.038%
side;2;0.038%
sight;2;0.038%
son;2;0.038%
soon;2;0.038%
sooner;2;0.038%
speak;2;0.038%
stay;2;0.038%
stern;2;0.038%
story;2;0.038%
subject;2;0.038%
sun;2;0.038%
swallowed;2;0.038%
tears;2;0.038%
telling;2;0.038%
temper;2;0.038%
terror;2;0.038%
those;2;0.038%
tone;2;0.038%
took;2;0.038%
town;2;0.038%
veered;2;0.038%
vows;2;0.038%
whence;2;0.038%
why;2;0.038%
winterton;2;0.038%
within;2;0.038%
worked;2;0.038%
worst;2;0.038%
year;2;0.038%
york;2;0.038%
your;2;0.038%
1632;1;0.019%
1651;1;0.019%
1st;1;0.019%
abandoning;1;0.019%
abate;1;0.019%
abatement;1;0.019%
above;1;0.019%
according;1;0.019%
acknowledge;1;0.019%
acknowledged;1;0.019%
act;1;0.019%
action;1;0.019%
added;1;0.019%
advantage;1;0.019%
adventurer;1;0.019%
affect;1;0.019%
affected;1;0.019%
affectionate;1;0.019%
agitated;1;0.019%
agony;1;0.019%
agreeable;1;0.019%
agreed;1;0.019%
alas;1;0.019%
allurement;1;0.019%
along;1;0.019%
altered;1;0.019%
amazement;1;0.019%
anchorage;1;0.019%
ancient;1;0.019%
apparent;1;0.019%
apparently;1;0.019%
appeared;1;0.019%
application;1;0.019%
applying;1;0.019%
apprehensions;1;0.019%
apprehensive;1;0.019%
apprentice;1;0.019%
army;1;0.019%
asking;1;0.019%
aspiring;1;0.019%
assigned;1;0.019%
assurances;1;0.019%
attempt;1;0.019%
attending;1;0.019%
attorney;1;0.019%
authority;1;0.019%
backwards;1;0.019%
bade;1;0.019%
battle;1;0.019%
become;1;0.019%
bed;1;0.019%
befall;1;0.019%
befallen;1;0.019%
begged;1;0.019%
believe;1;0.019%
below;1;0.019%
bent;1;0.019%
better;1;0.019%
between;1;0.019%
bitterness;1;0.019%
bless;1;0.019%
blessed;1;0.019%
blessing;1;0.019%
blessings;1;0.019%
blow;1;0.019%
both;1;0.019%
bottom;1;0.019%
bound;1;0.019%
bowl;1;0.019%
boy;1;0.019%
breach;1;0.019%
bred;1;0.019%
bremen;1;0.019%
broken;1;0.019%
brothers;1;0.019%
buoy;1;0.019%
burning;1;0.019%
burst;1;0.019%
cables;1;0.019%
calamities;1;0.019%
calculated;1;0.019%
calf;1;0.019%
calling;1;0.019%
calls;1;0.019%
calmer;1;0.019%
calmness;1;0.019%
cannot;1;0.019%
carry;1;0.019%
case;1;0.019%
casually;1;0.019%
cease;1;0.019%
chamber;1;0.019%
cheerful;1;0.019%
city;1;0.019%
clapping;1;0.019%
cleared;1;0.019%
clerk;1;0.019%
colliers;1;0.019%
comes;1;0.019%
commanded;1;0.019%
commands;1;0.019%
companion;1;0.019%
company;1;0.019%
competent;1;0.019%
complete;1;0.019%
composed;1;0.019%
comrade;1;0.019%
concern;1;0.019%
concerned;1;0.019%
conduct;1;0.019%
confess;1;0.019%
confined;1;0.019%
consented;1;0.019%
consequence;1;0.019%
consideration;1;0.019%
consulted;1;0.019%
contempt;1;0.019%
continue;1;0.019%
continues;1;0.019%
continuing;1;0.019%
convictions;1;0.019%
corruption;1;0.019%
cost;1;0.019%
counsels;1;0.019%
cromer;1;0.019%
crusoe;1;0.019%
current;1;0.019%
daily;1;0.019%
deaf;1;0.019%
deck;1;0.019%
decree;1;0.019%
decreed;1;0.019%
delightful;1;0.019%
deliverance;1;0.019%
design;1;0.019%
designed;1;0.019%
desirable;1;0.019%
desperate;1;0.019%
determined;1;0.019%
died;1;0.019%
diet;1;0.019%
difficulty;1;0.019%
diligence;1;0.019%
directed;1;0.019%
disappointments;1;0.019%
discharged;1;0.019%
dismal;1;0.019%
distance;1;0.019%
distempers;1;0.019%
distresses;1;0.019%
diversions;1;0.019%
does;1;0.019%
doing;1;0.019%
double;1;0.019%
dreadful;1;0.019%
dreadfully;1;0.019%
drinking;1;0.019%
drive;1;0.019%
driven;1;0.019%
driving;1;0.019%
drove;1;0.019%
drunk;1;0.019%
dry;1;0.019%
dunkirk;1;0.019%
early;1;0.019%
earnest;1;0.019%
earnestly;1;0.019%
ease;1;0.019%
education;1;0.019%
eight;1;0.019%
eighteen;1;0.019%
eighth;1;0.019%
elopement;1;0.019%
else;1;0.019%
encouragement;1;0.019%
england;1;0.019%
english;1;0.019%
enjoyments;1;0.019%
enraged;1;0.019%
enter;1;0.019%
enterprise;1;0.019%
enticed;1;0.019%
envied;1;0.019%
escape;1;0.019%
estate;1;0.019%
everything;1;0.019%
example;1;0.019%
excellent;1;0.019%
excursion;1;0.019%
excuse;1;0.019%
exhorting;1;0.019%
expect;1;0.019%
expected;1;0.019%
expecting;1;0.019%
express;1;0.019%
expressions;1;0.019%
extravagances;1;0.019%
extremes;1;0.019%
face;1;0.019%
faces;1;0.019%
fairly;1;0.019%
falls;1;0.019%
fared;1;0.019%
farther;1;0.019%
fatal;1;0.019%
fatted;1;0.019%
fault;1;0.019%
fears;1;0.019%
feeling;1;0.019%
feet;1;0.019%
felicity;1;0.019%
fellow;1;0.019%
fewest;1;0.019%
filled;1;0.019%
find;1;0.019%
fine;1;0.019%
fire;1;0.019%
firing;1;0.019%
fit;1;0.019%
fits;1;0.019%
flanders;1;0.019%
followed;1;0.019%
fool;1;0.019%
